index,userId,userName,userDescription,videos,,tname,fans,follows,videoNum,audioNum,articleNum,albumNum
1268,5851955,风铃Celestine,"celestinelee这个号永远不会出现在亚服
私信用于自动回复设置等信息，其他的可以微博私信。同名。",【Celestine风铃】突然想偷你-彩六之歌圣诞特辑【彩虹六号翻唱】20181225;【彩六】育碧削弱疯狗喷的原因找到了;彩虹六号居然出综艺了！！！,网络游戏;网络游戏;网络游戏,网络游戏,105751,1900,264,7,7,305
3128,1992514,纸欣Dream,喜欢看动画片的生活动态区up主、喜欢作画配乐摄影演出～虽然没学过画画但是喜欢画画！尽量努力做好每一个作品！！,干货？动画居然是这样上色的！【PaintMan/Retas】;【Fate/手书】手绘还原HF射杀百头-士郎vsBerserker【灵魂画风】;【明日方舟手书】杰西卡升变动画！,绘画;短片·手书·配音;短片·手书·配音,绘画,187401,1899,163,0,3,1506
5076,19936565,宫本绘,群635477762  wb宫本绘,【宫本绘】Violeta双景＋竖屏   无论何时都在等待着你izone;这腿就离谱！【宫本绘】桃源恋歌cos版;【宫本绘】12月的老婆请查收哦~艾米莉亚cos【girls】,明星舞蹈;宅舞;宅舞,明星舞蹈,79736,1880,56,0,0,316
4933,474521380,绝命老铁,充电的感觉真好，书真的是我们进步的阶梯,啪啪打脸！四大官方平台的梦想与现实;中国天眼到底是干什么的？看完必懂！【玄铁说】人民视频和绝命老铁联合创作;疫情会让印度发生什么变化？【预言坑】,社科·法律·心理;人文历史;人文历史,社科·法律·心理,780432,1872,44,0,13,56
1882,437744340,CSGO久菜合子," 不接开箱网站,其他合作邮箱：shouxinhezuo@outlook.com 粉丝二创请先私信我",《从游戏到生活被打穿了》;《 暂 停 一 下 我  讲   两   句》;《希望大家都能像风一样自由》,电子竞技;电子竞技;电子竞技,电子竞技,1099339,1823,107,0,2,39
1478,1560961,Mango-Man,硬核机器人科普UP主/加州大学圣地亚哥分校研究生在读/立志做全B站最专业的机器人科普！等我拿了百大up你可就是骨灰老粉了～,【机器人科学II】跑酷机器人背后你所不知道的技术细节 | 波士顿动力类人机器人Atlas | 军事？家政？护理？;【机器人科学II】佩戴机械“第六指”，竟反过来改变人脑？| 运动增强+SRL技术 | 人体增强设备重大学术突破;【机器人科学ii】软体机器人前沿进展分析｜白细胞仿生的人工触手肌肉,科工机械;科学科普;科学科普,科工机械,63434,1815,36,0,1,96
446,27880221,阿扶frits,分析up主，探索人生。,【阿扶】两个月爆涨150万粉，半佛仙人究竟做了什么？;【阿扶】半年涨粉近1000万，罗翔爆火也就看起来简单;【阿扶】开幕式崩了！这届奥运会为什么能办得这么差？,财经商业;社科·法律·心理;社科·法律·心理,财经商业,415917,1659,37,0,1,96
760,385281102,紗耶_sayako,?Ko no sayako 哒！?一般清楚萌音,世界上有5种辣！;KID角色曲-《孩》;我人傻了！变态盲僧在野外做出这种事？,短片·手书·配音;原创音乐;综合,短片,134544,1567,98,0,1,325
3284,303740257,牛顿顿顿,搞商业调查的摇滚朋克，商业合作WX:f5746253,奶茶成本几块卖几十？谁在假冒蜜雪冰城？警惕加盟奶茶骗局【牛顿】;万亿逆袭：“土鳖”拼多多的反击战【牛顿】;你点的“外卖”成本只要几块？30秒就出锅？警惕黑心料理包产业【牛顿】,财经商业;财经商业;财经商业,财经商业,1225894,1554,185,0,141,192
3096,2431441,究刺_Official,透明Coser 气人UP主 商业合作请私信 粉丝群:1046177363,【B站首发】使命召唤16:现代战争·单人战役简体中文全剧情流程(已更新无解说版)【完结】;【开箱Vlog】2B小姐姐居然收到了使命召唤官方全球限量礼盒？？？（不;EVA明日香与战地2042联动的珍贵片段（,单机游戏;日常;网络游戏,单机游戏,89796,1545,3227,17,29,2591
981,75547577,心灵侦探明柏辰,你的心灵私家侦探?我更新比较杂，请看合集或者收藏夹进行分类～商务合作qq:280699251【麻烦注明来意】,【柏辰】“嘶吼音”翻唱核爆神曲《aLIEz》，泽野弘之听哭了~中日文 Aldnoah·zero ED;一人K/DA男团！四种声线翻唱IG牛逼版《POP/STARS》【柏辰翻唱/混剪/中文填词】;你能猜出谁是凶手吗？？【灵探推理00】,翻唱;翻唱;日常,翻唱,1336283,1524,150,16,0,685
3659,39954026,十叶香re,前 newhappy 8easy在混过 只是玩了几年 很菜也没成绩 2003.4.25 买可加vx tgdw0001 备注我,,,暂无tag,46901,1481,235,0,0,236
1188,212560701,喝醋的anan酱,做饭真的太好玩啦！！！,传说一颗800的龙吟草莓究竟是什么神仙小可爱！！！;蛋非蛋 还原米其林史上最复杂鸡蛋！100个步骤？？！！;一个女生600元爆改5m2出租屋！/拆80个快递？,美食制作;美食制作;家居房产,美食制作,95928,1463,56,0,1,30
2066,50844167,可靠de伏特加,商务合作/个人qq 1215020585          承包手书、pv、鬼畜、混剪、mmd等多类型商业定制或代工,【呆鹅】秋名山的克利希娜！！;【派蒙】就 是 进 不 去！;【申鹤】小姨！抱人不要勒脖子啊喂！！,短片·手书·配音;鬼畜调教;短片·手书·配音,短片,564624,1442,263,2,0,466
2698,28053896,吉儿一范伦婷,"我走了很多弯路后才发现，原来的路可能才是最适合我的
目标是成为全b站最沙雕的up主
合作邮箱2042830851@qq.com",随机挑战，自闭又羞耻的一天，当众尬舞被拍照是一种怎样的体验？;5元和20元的汉堡，有什么区别？能否吊打肯德基？;全 程 高 能【第十三集】地底湖,搞笑;美食测评;单机游戏,搞笑,770103,1421,106,0,2,278
113,16450,神威鬼鸣,神采奕奕威八方，鬼才八斗鸣非凡。威鸣渐逝空回响，千金散尽还复来。,【卡祖笛】极乐净土【by神威鬼鸣】;【神威鬼鸣】成都【翻唱】;【神威鬼鸣&彩虹酱】青柠（再抓个姑娘一起唱，是青春的味道）,演奏;翻唱;翻唱,演奏,229208,1395,203,0,5,247
5335,19303193,柿恋ACE,已化身超级社畜！更新缓慢内容混杂，一切都是兴趣使然！ 商务合作联系V：pjl406967263（备注来意）,【柿恋】决战精神 / 決戦スピリット;【翻唱x???】让心灵之声?响彻群青 - 及川彻个人台词向;?这个「怪物」好像有点帅？,翻唱;MAD·AMV;翻唱,翻唱,16712,1308,142,19,0,421
780,198297,冰糖IO,"既是UP主也是虚拟主播（个人势），同时还是3D动画师！
制作：动画、配音、游戏实况、音乐、虚拟现实。
商洽联络人vx：15000251667",【冰糖模型配布/MMD】我的眼中只有你！【冰糖制作】;难过的时候就看看这个视频吧?;我对于v圈和网络社会的所见所思,MMD·3D;综合;综合,MMD·3D,1178867,1300,994,20,6,969
1687,11299160,怪物彼岸花,商业合作请加QQ351208106 QQ音乐：怪物彼岸花 网易云：怪物彼岸花微博：怪物彼岸花,拥有VAN的声线是种什么体验;拥有VAN的声线是什么体验第二弹;拥有VAN的声线是什么体验第三弹（完结篇）,短片·手书·配音;短片·手书·配音;短片·手书·配音,短片,545553,1287,516,10,1,360
1717,9426394,乔好玩,游戏外观杂谈，带你领略不一样的游戏乐趣。商务合作v：13311286278,【乔好玩】刷新纪录！这游戏七千万G，细节狂魔！画面就像现实世界！;全球仅一只！魔兽史上最稀有坐骑！最后惨遭官方删除！;刷新纪录！再大十倍！魔兽世界最大坐骑！顶穿主城天花板！,单机游戏;网络游戏;网络游戏,单机游戏,160434,1262,150,0,0,56
10,53456,Warma,我是沃玛，做点傻开心的视频。日常发在微博：@_warma_ ,【warma】300万关注啦！来纪念一下吧【沃玛的生活/第七期】;【warma】沃玛的生活更新！我家的蜘蛛变多了！【沃玛的生活/第四期】;【warma】读评论丨大家都把我当姐姐了太好了！,短片·手书·配音;短片·手书·配音;短片·手书·配音,短片,3452692,1186,204,6,1,171
5344,11473818,岚西啊喵,合作请联系QQ2818746961（记得备注）微博@岚西西啊喵喵  啥舞都跳，开心完事/有个小群~ 802099104,［岚西］寄明月●你为何如此乱我心弦？［生日作］;【岚西】Se?orita 给你妙不可言的体验~      练习室;我竟然让老妈陪我一起跳舞？自闭了！【岚西×妈妈】彩虹节拍~,明星舞蹈;明星舞蹈;宅舞,明星舞蹈,296249,1179,184,0,0,275
4704,10545143,Chasel懿辰,踏云社/水母组，长期接人声后期混音，合作请联系QQ630054877，唠嗑群295322368。头像自设by me，微博同名。懿龙发财，嘿嘿,【乐正龙牙】 囍 【原创PV付/踏云社】;【乐正龙牙】g【原创PV付/踏云六周年】;【牧心】不问天【SYNTHESIZER V COVER】,VOCALOID·UTAU;VOCALOID·UTAU;VOCALOID·UTAU,VOCALOID·UTAU,11645,1163,518,27,0,116
3860,506761354,快乐的苏胖,走遍全国各地，略有阅历的苏胖，用我的镜头，带你看尽这个世界，感受生活的新奇和美好。,,,暂无tag,271844,1151,45,0,0,14
878,285881562,穷三代kenaide科技,"普普通通的高中生....合作：2466469059@qq.com
评测：电脑，手机，相机，耳机
只要是数码类的都可以 合作测评走花火！！！
",,,暂无tag,105549,1147,106,0,7,750
235,495695169,锤子game,是大腿工作室视频作者 游戏 生活 搞笑 沙雕 up主，不定时更新真人沙雕游戏系列，耶！商务合作请v：shidatuimcn,玩 家 年 度 总 结;艾 尔 登 法 环 现 状;水 母 但是住河南,网络游戏;单机游戏;搞笑,网络游戏,631763,1132,121,2,0,47
1718,90361813,三十六贱笑,第三届全国逗比大赛第二名    合作微博：三十六贱笑  粉丝群：1002345796,500万粉，我却失业了;千万不要和情侣去理发！;课 堂 请 勿 对 对 子 3.0 ！！！,短片·手书·配音;搞笑;短片·手书·配音,短片,4943974,1129,178,0,0,95
219,38640369,因你而在的梦,写不出爱的歌.商务微信：KKKkilo_  微博：因你而在的梦_  小号：汗衫哥 ,《而是》;??速 度 加 快??;【洛天依乐正绫原创】大恩不言谢【勇者传①】,原创音乐;人力VOCALOID;VOCALOID·UTAU,原创音乐,359745,1124,252,17,10,684
1927,70745630,CSGO-德云两鬼の生活馆,德云两鬼官方小号  直播hao,《 V  I  P  烟 》;dust2进攻必学十颗烟雾弹;inferno进攻必学十颗闪光弹,电子竞技;电子竞技;电子竞技,电子竞技,120683,1117,361,0,0,21
3285,3129234,Aniraiden,动漫高手（指做三维的）,【CG级别】用3D做一个紫罗兰小姐姐;【影视级建模】谁说我只会做二次元，做个写实肖像给泥萌看~精细到毛孔~;【CG级别】“用这面盾捍卫您的生命和荣耀”，用三维制作一个临光3D模型，耗时一年终于完成了,野生技能协会;野生技能协会;野生技能协会,野生技能协会,138600,1117,43,0,1,275
330,53178,椎名牧Maki,@琉璃猫映像/喜欢电鸟和尤超白/身体原因告别翻唱/网易云@椎名牧Maki/希望pv师能得到更多尊重/,【Maki】行星环  壹陆坦白计划3/3 【P2卖萌福利】;【Maki】 Eine kleine  周年纪念计划1/7【念白付】;【Maki】那女孩secret 壹捌独白计划1/5 【念白付】,翻唱;翻唱;翻唱,翻唱,1850,1098,109,22,0,7
5146,1506,Ayu_reakey,Upspeed 陈年老宅,,,暂无tag,4866,1075,2,0,0,42
993,3211302,艾尔十六,旧坑填坑中，新坑挖掘中，商业合作请私信或微博，新浪微博：@艾尔十六  （个人商务VX：aier1616）,【新·游戏王VS系列】第十集：异世界三巨头降临！;和雷电将军结婚！【原神动画】;【崩坏3新春会】我召唤我的拳头呈攻击表示！,桌游棋牌;短片·手书·配音;短片·手书·配音,桌游棋牌,896193,1064,374,2,3,259
4901,27664707,一只小黄书,玩耍群:1041311447，一个不定时更新的沙雕up，欢迎小可爱的关注,不 自 然 死 亡;奇…奇怪的知识增加了!!;奇…奇怪的知识又增加了!!,搞笑;搞笑;搞笑,搞笑,390835,1059,231,0,0,21
2335,26344439,DM袋喵,一身正气画画人 微博@一大袋喵   PIXIV/元气桌面 同名 助理Q：3498245206 课程群,【动态壁纸】铃兰嫌弃的递给你一只雪糕;二次元的奥运健儿们！;【DM绘画】【明日方舟】铃兰大小姐嫌弃的摆了摆雪糕！,绘画;竞技体育;绘画,绘画,287484,1053,102,0,0,470
3458,327621460,星海璃幻,一本不正经的老番鉴赏家～分享自己看过的动漫～商业合作请加vx:cyn1995或者b站私信哦??(ˊωˋ*)??,曾火遍全网的《溯》，你是否还知道？;【处处吻】你的老婆可太撩了！世界都馋她一吻;评分9.6！堪比《魔女之旅》的精神佳作！制作精良却鲜为人知？霸权社倾力制作！,MAD·AMV;MAD·AMV;综合,MAD·AMV,537981,1049,403,0,9,434
3116,25007084,木南工坊,这里是特摄与VUP结合的频道 商务合作微信:xh522313099 主群：875593419二群：459811404,2022特摄区拜年纪！隆冬难凉热血魂！;塔子哥秀翻全场！冷门奥的高光时刻竟是？！实诚吐槽银格3第三话【奥特银河格斗3吐槽】;老梗成真！？关于《新·奥特曼》你不得不知的六个热知识！『奥特新资讯』,特摄;特摄;特摄,特摄,346444,1044,293,13,3,431
921,76146203,小白的装修设计,职业团队丨分享案例丨改造设计丨不限地区丨工作V：bai1983ups,,,暂无tag,295879,1018,79,0,0,3
1732,4196484,五四IAM,"B站youtube微博同名 商务vx：wusiiam
我不希望游戏变成冷冰冰的精神毒药，我希望用他们留下值得纪念与回忆的温情。",黄金：我可能不是人，但你是真的狗;《武林外传》的终极神秘结局，我揭开了埋藏14年的新春礼物！;一款疯狂反转结局能把你玩傻的丧尸游戏，自以为是救世主结果杀害了所有人！,单机游戏;单机游戏;单机游戏,单机游戏,592612,1011,179,0,3,270
5058,2228859,花卷好吃,春日雨，夏蝉鸣；秋风起，雪花轻。微博:花卷不是好吃的花卷,【古装/喜剧】御前四宝 繁体中字 44集全（2004）（把酒当歌趁今朝）;【高清DVD完整版】【爱情/剧情】天若有情 35集全（2005）（偷心）,国产剧;国产剧,国产剧,306189,999,174,0,1,55
1284,28537819,飞雪再临恍若隔世,一个彩六+单机的视频UP主，合作请联系QQ:945326524,【干员教学】在下，狂暴盾!7分钟教你玩转大盾——飞雪的干员教学系列#9;【干员教学】sorry，有2.5真的能为所欲为。最精简硬核的大师斯巴达（maestro）教学——飞雪的干员教学系列基础篇#10;【干员教学】我耶格今天，要用416抱你们头！怕不怕？——飞雪的干员教学系列基础篇#12,网络游戏;网络游戏;网络游戏,网络游戏,150104,963,256,0,19,328
1638,593871,天使vs恶魔,古风、ACG小提琴音乐人；纯音频可搜Q音网易云同名；广州小提琴教师；弦乐器品牌「爱小提」联合创始人，合作请私信,【小提琴】《锦鲤抄》你绝对不能错过的一版“炒鲤鱼”【天使vs恶魔】;【小提琴】《极乐净土》你可能忍不住不断循环？【天使vs恶魔】;全网唯一温柔细腻钢琴小提琴版陈情令《忘羡/无羁》【昼夜/天使vs恶魔】,演奏;演奏;演奏,演奏,82249,955,161,61,2,105
692,477007,Sawako碎花子,不接无偿 合作具体内容请发邮箱:1018851373@qq.com / 三群:917852759,Bandblues / 理一 feat.碎花;【專輯試聽】夜巡 / 理一 feat.碎花,原创音乐;原创音乐,原创音乐,134873,955,184,22,0,557
1465,96236325,暮春玩具盒,感谢支持，商业合作wx:AA310772 要买福袋加我qq 3107724141,【破产开箱01】超级稀有的假面骑士甲斗dx锥钻头 甲虫发射器,手办·模玩,手办·模玩,100945,950,385,0,0,1821
286,3743849,大蜡烛,几家公司老板，获上海交大投资 加vx:qpzmqpzmbz,,,暂无tag,860368,940,113,0,21,163
4230,45311923,瓜皮M君,不要燃尽自己 我的星星 请等我   【粉丝1群：562915290 粉丝2群：551875458】,怪盗基德中二黑历史曝光! 魔术快斗超详细回顾!!!;【FGO/罗曼】b萌史上最具争议燃王: Dr.罗曼背后的故事;从霸道总裁到抑郁症? 价值1亿的龙族IP该何去何从? 揭秘江南和龙族背后的资本博弈【IP编年史03】,综合;综合;财经商业,综合,107559,938,61,0,1,107
2588,33902743,派三叔iPython3,被代码耽误的歌手，中国科学技术大学计算机系本科生.微博/网易云:B站同名.粉丝群849576174.个人QQ1091667911,花粥出山改编版《出题》，学生听了表示真实！;我想带你去月球~Fly me to the moon吉他弹唱;如何唱出Bad Guy的精髓？电风扇手动电音，完美还原！,翻唱;翻唱;翻唱,翻唱,181248,936,16,11,0,24
5131,177281644,VO大自然,没投稿的时候一般是在喂鸟 / 网易云q音同名 / 微博@VO小自然,【明日方舟】霜叶到底在哼什么歌？为什么我的霜叶自带BGM？！！;国 葬 级 仙 人 抬 棺;调音师带你看猫片,手机游戏;原创音乐;音乐综合,手机游戏,188758,935,95,19,2,67
4270,11167,平安夜的噩梦,SP.ICE负责人  卖手办的,横竖撇点折【2020拜年祭单品】;不问天【2021拜年纪单品】;D大调卡农 —  献给生命中的每一个时刻【2022拜年纪单品】,原创音乐;原创音乐;综合,原创音乐,266901,922,47,0,1,90
5333,2712662,谢细菌,网上冲浪开心就好，本职测量狗，商务合作QQ：271374252，群號650147456，感謝關注~,【细菌】ヽ(??ω?? )ゝDecorator;工!地!版!爱杀宝贝ED希望包工头不上b站系列 |细菌 |生日作;【细菌】穿最性感的衣服跳最沙雕的舞蹈 影流之主 文艺复兴,宅舞;宅舞;舞蹈综合,宅舞,128013,921,105,0,0,110
317,24946189,Nekock·LK,彼女募集すでに完成しました…多分。,【原创首发】初音未来13周年诞生祭 -Link Your World【Miku × World】;【初音中文原创曲】星满归途【《再启动/再啟動 ЯEACTION》专辑收录曲】;【初音未来原创曲】熏银原野【《再启动/再啟動 ЯEACTION》专辑收录曲】,VOCALOID·UTAU;VOCALOID·UTAU;VOCALOID·UTAU,VOCALOID·UTAU,16314,903,172,32,20,536
772,5050136,Kirito丶桐人君,懂点画画儿，可惜没什么天赋。P站和推特：Kiriko  有兴趣可以关注一哈。（今年档期满了！暂时不接了，紧急商业单除外）,日本18岁成人祭 ONE OK ROCK新歌——"WE ARE "1000人合唱;双马尾美少女在线吃糖？有笔刷就能学会？梦里什么都有！【摸鱼人 第01期】;【原神】当刻晴撕掉一半黑丝做夹腿剑法动起来会怎么样？,音乐综合;绘画;野生技能协会,音乐综合,181167,892,13,0,0,121
2964,389988163,马佳PopMatta,乙醇酵母马佳PopMatta 我来自欧洲中部一个小国家，斯洛伐克 商合vx：15021275170（注明来意）,当毛妹喝了二锅头，气氛突然苏维埃起来。。。。。;为什么西方对中国充满偏见？欧洲小姐姐告诉你美国互联网霸权如何洗脑欧洲;为什么我叫自己毛妹？是因为毛很多吗？东欧Q&A,日常;日常;日常,日常,695434,890,151,0,0,75
1612,8420618,统一的奸商之路,宝爸。学校不教的赚钱技巧，我讲给你听。在线教育公司CEO，同名公号有《12个月入5000的低门槛副业.pdf》,为什么你必须学会销售？| 让普通人月入5万的赚钱教学;3个后悔没有早知道的赚钱顿悟 | 从半佛仙人的买房视频说起;《抠B养成指南》| 如何暴打消费主义，将每月花钱控制在0元？,职业职场;职业职场;财经商业,职业职场,847156,886,24,0,4,67
3633,175631,川岛薄荷,十年老up，关注文化 影视 日娱，等等,除了大哥大 福田导演的经典"沙雕"剧TOP10盘点！【薄荷60秒】;【薄荷100秒】99年-00年出生的日本女星TOP10！【快速盘点】;2022年1月日剧导视 【31部】?,影视剪辑;娱乐杂谈;影视剪辑,影视剪辑,314109,882,494,0,19,1100
644,346124580,禾兮子,cos/三坑/鹿型Vup 谢谢关注！粉丝群828570600直播群通知 微博@禾兮兮子 tb禾兮小铺 商务合作请私信??爱尼萌 挖人签约勿扰,【禾兮】模仿狗妈的18个表情包【神乐七奈cos】;我租了个coser女友陪过万圣节！【魔女之旅·伊蕾娜】;【COS短片】神楽七奈-狗妈∪?ω?∪??,搞笑;搞笑;穿搭,搞笑,238159,878,141,1,0,313
2874,23467029,六木乔,不定期发些绘画过程。（漫画连载在哔哩哔哩漫画）,,,暂无tag,97391,877,13,0,0,8
161,1393437,YXECG游戏资讯,每晚八点，准时更新，分享当天的Steam游戏资讯。商务合作微信h2696630,【游戏最TOP】Steam十大最耐玩游戏，V社完成五杀！;【游戏公司简史R星上篇】;Steam梗知识：我是傻逼,单机游戏;单机游戏;单机游戏,单机游戏,943728,871,1764,0,14,222
588,22157527,元素领主墨元素,触手狂热爱好者，不论什么形式的触手都很喜欢,【明日方舟手书】Do The Fight;【原神的奇妙日常】岩王帝君在找新工作;明日方舟拜年纪2021【皎星示岁】,短片·手书·配音;短片·手书·配音;手机游戏,短片,509223,869,267,0,90,1473
150,324879,CRAZY262,带您欣赏战争的艺术 ?(? ? ??),【大国角斗】熊师折戟？俄军为何初战不顺？硬实力和软实力哪个更重要？;【大国角斗】瓜岛战役（上）二战版“空海一体战”（日本vs美国）;【大国角斗】天基武器靠谱吗？真实的太空战争会是怎样？,人文历史;人文历史;科学科普,人文·历史,1042608,860,880,0,399,520
1680,671655664,寻找雪流星的笛亚,"欢迎进入我的粉丝群：648353246
与多位画师合作，每周更新动态壁纸！
合作联系VX:swgppgs02",,,暂无tag,218816,855,183,0,0,1457
5029,168687092,空美町,壁纸&动态壁纸，和众多画师合作,,,暂无tag,1609164,854,79,0,0,433
2096,26328593,耿清清呀,会跳舞的长腿拖地姬~以后每周三固定更新~ 关注清清 不会让你失望滴！,"10cm高跟鞋 费膝盖的辣Lisa舞《mushroom chocolate》翻跳【4K】 【清清】;几朝醉花间~《花间酒》赤足旗袍版扇子舞/今夜与我 ,不醉不归~ 舞蹈翻跳【白小白】编舞;长 腿 足 球 宝 贝 蹦 迪 舞《MiMiMi》 球场热舞 momoland【4k】【清清】",明星舞蹈;舞蹈综合;明星舞蹈,明星舞蹈,547006,838,75,0,0,108
2347,18251027,Grandia元,微博地址http://weibo.com/5972746334  课程咨询预约QQ2130090085,【绘画过程】JOJO-DIO   2P原速（没人看自己看）;如何使用高达嘴叼着外星人脚画42姐姐;想要更多就留下三连吧！,绘画;绘画;绘画,绘画,176950,824,88,2,0,574
391,40966108,倒悬的橘子,唐山十八线说唱歌手。,说唱diss   倒悬的橘子VS王老六;人生苦短;你那叫说唱厂牌吗？,原创音乐;翻唱;鬼畜调教,原创音乐,2631020,822,220,0,0,53
4259,98960802,齐司礼,"作品未经过许可禁止二次转载
（商务合作vx：cyn1995）",曾火遍全网的《溯》，你是否还知道？;【处处吻】你的老婆可太撩了！世界都馋她一吻;【4K 60FPS】可莉 好耶！哒哒哒哒！全站最好听的原神同人曲！,MAD·AMV;MAD·AMV;手机游戏,MAD·AMV,307974,820,113,0,0,24
269,2283296,小猪P_,商务合作请私信 / 头像by巨大化羊驼,不 买 立 省 百 分 百;B 站 伏 拉 夫;??两面包夹芝士??,VOCALOID·UTAU;搞笑;鬼畜调教,VOCALOID·UTAU,376180,820,280,110,5,361
1382,185546,小可儿,u2b:SpikeTheRemixer   weibo@Real小可儿 合作请私信。 商务合作vx:liyiwind,噼 里 啪 啦;《 该 死 的 大 嘴 巴 子》;为什么两年前我不做鬼畜了？100%真实的内心想法,MV;鬼畜调教;日常,MV,1184956,819,63,53,0,206
1616,3456630,晓晨Official,"Vup中的泥石流～闲聊群571547579/943574175
商业合作+qq 779478552",传家宝的正确用法？当裂开者打开了侵蚀.exe 2.0！【APEX】;Ash的正确用法？当裂开者打开了Ash.exe！！【APEX】;新英雄的正确用法？当裂开者打开了暴雷.exe！,网络游戏;网络游戏;网络游戏,网络游戏,167145,814,194,0,0,354
713,2100679,还有醒着的么,这里是醒爷，加班画画的！未满16禁止关注！微博推特ID都是 还有醒着的么 p站ID=7660686,等我出来了 就把你们全变成小姐姐;【绘画】深夜寂寞不想睡 不如陪醒爷画画;终于有奇怪的小玩具广告推广找我了！但是但是,绘画;绘画;综合,绘画,419368,813,200,0,2,698
483,39112946,_江之岛盾子_,喜欢动漫、历史、围棋、地理、游戏、经济、政治、编程、健身、桌游、三国杀、中华文化、数据分析、数据可视化的UP主。商务合作私信。,B站Up主都是哪里人？三分天下，三足鼎立-再现魏蜀吴三国时期！【地图可视化】;谁是播放量最高的UP主？看完这份排名你就知道了！【数据可视化】;2021年世萌排名出炉！恭喜伊蕾娜获得2021年萌王！炮姐惜败！,社科·法律·心理;日常;综合,社科·法律·心理,374639,807,1494,0,22,367
1083,272195,#NAME?,新浪微博：@-鸦-karas    QQ群：298326074,独臂玩家《只狼》迅猛流无伤攻略解说合集（已完结）;【仁王2】因为不掉血，所以全点攻击力了【 第一期】;【独臂武士】『艾尔登法环』迅猛流无伤攻略解说 第一期（4K/60FPS）,单机游戏;单机游戏;单机游戏,单机游戏,201221,800,323,0,1,410
